"geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","year","replicate","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Summer.Insolation","Soil.type"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,9,0.965511381343098,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,10,0.965928958221513,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,1,0.930450131611696,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,2,0.898318590840803,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,3,0.882738895501455,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,4,0.892501794731746,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,5,0.945486559815622,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,6,0.91577263142181,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,7,0.907036386166386,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,8,0.936655471637945,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,9,0.928117930010191,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"F","Triploid",0,-0.55359319543508,0.0979716485638017,29.3335,6.99961767550515,"AHYY","grid",2018,10,0.783502125207608,324642.492571761,4308667.21306665,"Oh-be-Joyful Creek-Slate River",2804.53627225658,13.3833447743548,3,21.677885055542,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,1,0.928678483488235,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,2,0.964080948727016,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,3,1.00200968738979,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,4,0.976205656057238,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,5,0.950471038047464,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,6,0.956109953651272,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,7,0.904506072809493,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,8,0.956481009379659,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,9,0.97151529628385,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
"M","Triploid",4,-0.893537142486394,0.12237981014371,36.1,6.99961767550515,"AMYCG","random",2020,10,0.97267857509794,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,22.5156784057617,"Soil"
