"replicate","geneticSexIDM","Ploidy_levelTriploid","n_medium_trees","Cos.aspect","Elevation","lambda"
5,"1","1",15,0,3000,0.999999999999995
6,"1","1",15,0,3000,0.991094989955788
7,"1","1",15,0,3000,1.00000000000001
8,"1","1",15,0,3000,1
9,"1","1",15,0,3000,NA
10,"1","1",15,0,3000,1.00000000002896
1,"0","0",0,1,3000,0.999988065824848
2,"0","0",0,1,3000,1.00000010967935
3,"0","0",0,1,3000,1.00000299816399
4,"0","0",0,1,3000,0.97025872060183
5,"0","0",0,1,3000,0.990706838140799
6,"0","0",0,1,3000,1.00523419586794
7,"0","0",0,1,3000,0.992710793542335
8,"0","0",0,1,3000,0.996212112014274
9,"0","0",0,1,3000,1.00042441277886
10,"0","0",0,1,3000,0.999999800972961
1,"1","0",0,1,3000,1.0000004457478
2,"1","0",0,1,3000,1.00000288275728
3,"1","0",0,1,3000,0.999999784047568
4,"1","0",0,1,3000,1.00000303794869
5,"1","0",0,1,3000,1.00554904689764
6,"1","0",0,1,3000,1.00029602344916
7,"1","0",0,1,3000,1.00000174048089
8,"1","0",0,1,3000,1
9,"1","0",0,1,3000,NA
10,"1","0",0,1,3000,0.999999734850726
1,"0","1",0,1,3000,0.9909562031721
2,"0","1",0,1,3000,0.99994871015264
3,"0","1",0,1,3000,1.00000505476116
4,"0","1",0,1,3000,0.940941056355184
5,"0","1",0,1,3000,0.97852180315395
6,"0","1",0,1,3000,1.00000173671236
7,"0","1",0,1,3000,0.973207967240392
8,"0","1",0,1,3000,0.985290851921542
9,"0","1",0,1,3000,NA
10,"0","1",0,1,3000,0.999999956921321
1,"1","1",0,1,3000,0.99999999456497
2,"1","1",0,1,3000,1.00012362409914
3,"1","1",0,1,3000,1.00000069148136
4,"1","1",0,1,3000,0.991915614919249
5,"1","1",0,1,3000,1.0026523564768
6,"1","1",0,1,3000,0.999999999782658
7,"1","1",0,1,3000,0.999169530062473
8,"1","1",0,1,3000,1
9,"1","1",0,1,3000,NA
10,"1","1",0,1,3000,0.999999996801995
1,"0","0",5,1,3000,1.0000000878859
2,"0","0",5,1,3000,0.999997144835418
3,"0","0",5,1,3000,1.0000027867556
4,"0","0",5,1,3000,0.999906485420056
5,"0","0",5,1,3000,0.99970230162888
6,"0","0",5,1,3000,1.00288304075445
7,"0","0",5,1,3000,0.99990527595582
8,"0","0",5,1,3000,1.00009833165403
9,"0","0",5,1,3000,0.986933755300985
10,"0","0",5,1,3000,0.999998181107223
1,"1","0",5,1,3000,1.00000043713844
2,"1","0",5,1,3000,1.00000862229859
